Date,Month,state,median_listing_price,active_listing_count,new_listing_count,price_increased_count,average_listing_price,total_listing_count
12/20/2020,Dec,illinois,235400,34477,9764,396,366882.55,57366
12/20/2020,Dec,montana,396500,2706,664,40,851910.3839,5373
12/20/2020,Dec,nebraska,245950,3379,1176,108,312724.2204,7093
12/20/2020,Dec,florida,344950,92648,30700,4840,745776.7223,159062
12/20/2020,Dec,hawaii,642500,7267,1480,52,1205207.944,8466
12/20/2020,Dec,utah,549950,3973,2300,292,1108825.63,12275
12/20/2020,Dec,alaska,299900,1576,340,16,383036.6149,1690
12/20/2020,Dec,indiana,200500,9155,3928,152,276352.1573,15345
12/20/2020,Dec,arkansas,199900,6830,2084,92,290967.7413,10453
12/20/2020,Dec,south carolina,279950,15307,5332,1132,447643.0341,28219
12/20/2020,Dec,district of columbia,606999.5,1708,620,12,948225.9409,2760
12/20/2020,Dec,wisconsin,249950,9374,2904,80,351324.0845,15667
12/20/2020,Dec,connecticut,385000,11930,2860,136,847461.2371,12088
12/20/2020,Dec,georgia,320227.5,32606,13996,2236,459858.009,66473
12/20/2020,Dec,mississippi,222050,5752,1516,112,297020.014,9105
12/20/2020,Dec,maryland,342000,8011,4268,468,500562.9753,19991
12/20/2020,Dec,rhode island,387000,1460,784,16,739059.713,3803
12/20/2020,Dec,north dakota,236250,2341,460,20,279510.8646,3148
12/20/2020,Dec,vermont,325000,1941,412,16,514631.6748,2986
12/20/2020,Dec,new hampshire,379000,1872,916,60,522433.7284,3582
12/20/2020,Dec,massachusetts,609450,8999,3592,180,1091332.52,14873
12/20/2020,Dec,missouri,215000,11856,4384,324,314462.6643,23554
12/20/2020,Dec,texas,299896,57396,23228,4136,454427.2132,106350
12/20/2020,Dec,iowa,214900,8704,2016,440,254321.5397,14843
12/20/2020,Dec,california,727000,43302,22380,1436,1596134.449,93996
12/20/2020,Dec,new mexico,279900,4547,1400,116,443365.3891,7740
12/20/2020,Dec,minnesota,294950,10349,3692,232,394001.0162,18678
12/20/2020,Dec,arizona,389000,9647,6256,688,664991.671,25382
12/20/2020,Dec,ohio,189000,15057,6740,440,283073.1587,32733
12/20/2020,Dec,oregon,473996.5,5630,2992,1980,643307.2122,14572
12/20/2020,Dec,new york,570196,61781,9772,592,1222454.865,102597
12/20/2020,Dec,kansas,189975,4739,1728,140,293881.2406,9526
12/20/2020,Dec,tennessee,315000,12055,5328,772,469653.8508,24463
12/20/2020,Dec,new jersey,437100,23788,8024,496,655853.6798,35860
12/20/2020,Dec,south dakota,240400,1896,488,24,325533.705,2585
12/20/2020,Dec,pennsylvania,259450,20591,6628,592,387373.3816,39363
12/20/2020,Dec,kentucky,222000,7115,2720,116,311542.7836,14515
12/20/2020,Dec,wyoming,265000,1906,472,16,622600.9844,2658
12/20/2020,Dec,alabama,249950,12007,3872,712,340621.8252,17618
12/20/2020,Dec,michigan,233950,17214,6860,408,353491.3039,27809
12/20/2020,Dec,virginia,346465,15766,6832,944,537129.6253,30538
12/20/2020,Dec,colorado,513595.5,11099,4640,648,1156263.16,22570
12/20/2020,Dec,washington,499950,7063,4388,812,742687.6354,20636
12/20/2020,Dec,north carolina,339700,19505,8088,1236,479349.0192,40379
12/20/2020,Dec,idaho,429900,2246,1316,160,839598.2854,6288
12/20/2020,Dec,nevada,349999,8290,3280,332,619838.2045,9915
12/20/2020,Dec,oklahoma,219949.5,7642,2720,204,314251.5774,14410
12/20/2020,Dec,west virginia,165000,3976,872,80,246569.6194,6311
12/20/2020,Dec,delaware,349000,1874,664,200,469107.3074,4702
12/20/2020,Dec,maine,295000,3650,876,44,446567.1565,4777
12/20/2020,Dec,louisiana,249999.5,10239,2940,180,355124.9605,16909
11/20/2020,Nov,new hampshire,375400,2251,1384,76,518919.8756,4549
11/20/2020,Nov,florida,345000,97409,33904,4768,735922.3933,167743
11/20/2020,Nov,michigan,239900,19552,8964,396,356782.2038,32533
11/20/2020,Nov,new york,570000,67496,14612,720,1210139.603,112157
11/20/2020,Nov,minnesota,295450,12539,4844,312,393978.375,23117
11/20/2020,Nov,arkansas,200000,7212,2444,128,293102.8139,11399
11/20/2020,Nov,maryland,349450,9229,5760,504,503028.0039,23356
11/20/2020,Nov,new jersey,442450,27549,11656,472,653812.5764,41418
11/20/2020,Nov,wisconsin,253450,11033,4076,136,349566.3058,19053
11/20/2020,Nov,north dakota,239950,2520,584,24,278820.3852,3545
11/20/2020,Nov,vermont,325000,2164,556,24,509494.1532,3520
11/20/2020,Nov,mississippi,225500,6044,1716,160,298645.6444,9808
11/20/2020,Nov,indiana,209950,10212,5264,180,285124.9034,17702
11/20/2020,Nov,new mexico,280000,4897,1584,80,446693.0364,8475
11/20/2020,Nov,california,727044,51254,29708,1532,1536489.149,107966
11/20/2020,Nov,maine,295000,4157,1364,48,449086.3315,5527
11/20/2020,Nov,delaware,349900,2044,912,236,473880.9834,5275
11/20/2020,Nov,south dakota,240400,2191,584,4,317943.1383,2984
11/20/2020,Nov,wyoming,267250,2113,548,8,602899.1141,3060
11/20/2020,Nov,iowa,214900,9663,2984,416,253968.3475,16660
11/20/2020,Nov,nebraska,241950,3635,1472,96,305517.9201,7818
11/20/2020,Nov,kentucky,225000,7447,3244,164,319632.2962,15947
11/20/2020,Nov,arizona,389750,11207,7988,840,655575.9867,29049
11/20/2020,Nov,hawaii,641000,6540,1572,52,1228379.776,7755
11/20/2020,Nov,illinois,249450,38882,13520,392,378274.5403,65518
11/20/2020,Nov,texas,304308,62778,28208,3644,459670.2636,116256
11/20/2020,Nov,louisiana,250450,10718,3272,172,348584.7837,18031
11/20/2020,Nov,washington,509500,8885,5688,764,743700.0736,24943
11/20/2020,Nov,south carolina,284945,16364,6040,1224,450918.2458,30532
11/20/2020,Nov,north carolina,341484,21495,9892,1308,478441.8435,44925
11/20/2020,Nov,georgia,325000,36012,17208,2284,464281.2266,73320
11/20/2020,Nov,oregon,475000,6809,3852,1856,642530.375,17490
11/20/2020,Nov,oklahoma,224574,8315,3632,164,316273.752,15608
11/20/2020,Nov,pennsylvania,263522,22852,9520,496,390710.3473,45253
11/20/2020,Nov,utah,533400,4622,2628,272,1059093.876,13999
11/20/2020,Nov,ohio,191900,16890,8836,492,286273.8341,38027
11/20/2020,Nov,alaska,299250,1804,460,20,378473.8108,1929
11/20/2020,Nov,colorado,512786,13175,6124,624,1086641.826,27121
11/20/2020,Nov,kansas,199500,5157,2216,116,301271.3725,10634
11/20/2020,Nov,connecticut,379950,14184,4096,144,816287.7116,14387
11/20/2020,Nov,virginia,352128,17864,9028,1004,539378.9574,34839
11/20/2020,Nov,massachusetts,624950,11437,5880,220,1097814.812,20316
11/20/2020,Nov,alabama,249950,12660,4768,644,341737.7212,19001
11/20/2020,Nov,nevada,350000,9290,3688,368,616186.3203,11254
