Month,state,median_listing_price,active_listing_count,new_listing_count,price_increased_count,average_listing_price,total_listing_count
21-Mar,kentucky,245000,4850,3060,200,341744.2,12791
21-Mar,ohio,218200,9717,8376,296,326236.0365,27603
21-Mar,georgia,352500,22136,18388,2288,529848.1611,61547
21-Mar,virginia,366950,11954,10860,1404,596021.2486,28273
21-Mar,massachusetts,654500,6613,7132,240,1240141.06,9683
21-Mar,south carolina,287768,9696,5728,2192,494480.7848,25763
21-Mar,washington,559500,5140,7212,448,828101.4241,18651
21-Mar,pennsylvania,276750,14893,10540,940,439546.0666,34337
21-Mar,vermont,349500,1337,660,36,583713.6678,2368
21-Mar,district of columbia,540450,1472,984,12,966408.8988,2699
21-Mar,new mexico,280000,3730,1812,140,461956.747,7221
21-Mar,mississippi,224950,4298,1660,168,307814.2663,8197
21-Mar,indiana,219900,5557,4312,324,316828.3097,11877
21-Mar,new hampshire,422450,1329,1520,84,640048.2213,2626
21-Mar,alaska,329500,1145,604,68,425186.7199,1257
21-Mar,california,820000,35018,34160,1416,1952295.529,87928
21-Mar,tennessee,347400,7460,5716,696,555740.1723,20596
21-Mar,louisiana,261355,7732,3296,332,371910.6862,15506
21-Mar,iowa,227400,7279,3164,424,263567.596,14779
21-Mar,maine,315000,2262,1304,88,496827.2409,3198
21-Mar,colorado,567250,8354,7968,564,1353328.765,20838
21-Mar,wyoming,277500,1397,564,36,688256.8385,2280
21-Mar,new york,587000,50733,16600,880,1297019.333,79169
21-Mar,kansas,191000,3218,2168,264,317018.6655,8759
21-Mar,north dakota,249400,1686,724,100,296223.5818,2745
21-Mar,minnesota,325000,7767,6376,388,446054.4873,17549
21-Mar,michigan,267000,11269,8652,648,415140.3734,21373
21-Mar,nevada,382444,5228,3976,360,761434.8465,6830
21-Mar,new jersey,449400,18412,13500,524,697247.4376,33308
21-Mar,maryland,359950,6074,6892,520,541639.4823,18188
21-Mar,florida,365000,58160,32764,4996,868069.9836,144357
21-Mar,wisconsin,279450,6462,4572,224,394920.3358,13353
21-Mar,north carolina,371810,12521,9924,1388,558129.2089,35422
21-Mar,hawaii,644500,5053,1600,100,1299511.704,6597
21-Mar,utah,579900,2835,3496,192,1390477.422,11295
21-Mar,south dakota,252400,1718,916,40,322432.0849,2453
21-Mar,arizona,447000,6345,7960,608,854787.2343,23614
21-Mar,rhode island,429500,1011,1092,16,931179.7818,3144
21-Mar,delaware,381200,1336,960,296,517450.7117,4144
21-Mar,illinois,232450,25963,14496,580,411020.883,54805
21-Mar,montana,426500,1935,1056,60,965044.9256,4871
21-Mar,west virginia,159450,2845,1228,68,257019.8202,5408
21-Mar,idaho,535000,1810,2160,96,1048088.548,6174
21-Mar,oregon,497000,4554,4772,224,712240.7152,13649
21-Mar,missouri,249495,7976,5516,924,362668.8491,20527
21-Mar,arkansas,199900,5005,2436,168,315221.9569,9048
21-Mar,alabama,267835,8493,4748,792,369881.5288,15778
21-Mar,texas,314476,39053,28580,5940,499327.2884,93540
21-Mar,nebraska,274783.5,2519,1320,196,345977.485,6648
21-Mar,oklahoma,233244.5,5125,3260,400,357649.7551,12872
21-Mar,connecticut,416250,9407,4852,292,949541.6524,9556
21-Feb,virginia,350000,12005,7872,1292,578835.0112,27168
21-Feb,rhode island,442450,1034,784,32,944094.1727,3107
21-Feb,texas,304052,43287,26544,5452,478263.7972,95621
21-Feb,delaware,358750,1418,728,352,494496.8807,4048
21-Feb,maryland,349950,5830,4660,464,543384.648,17156
21-Feb,wisconsin,269450,6663,3252,176,385975.009,12854
21-Feb,nevada,350000,6057,3688,328,691168.2906,7564
21-Feb,wyoming,273000,1539,556,28,644431.0588,2358
21-Feb,florida,350000,70335,32932,6448,819754.8217,150564
21-Feb,louisiana,257400,8604,3420,476,360906.2,15883
21-Feb,new york,578500,51893,12128,744,1281388.531,81905
21-Feb,north carolina,358371,14213,9200,1860,528349.12,36023
21-Feb,minnesota,316950,7668,4768,496,432610.7944,15767
21-Feb,hawaii,639500,5303,1524,108,1282705.627,6725
21-Feb,oregon,489975,4347,3692,200,709340.2537,12881
21-Feb,oklahoma,220700,5750,2440,356,337684.6835,11493
21-Feb,kentucky,229947.5,5214,2512,248,325374.3731,12809
21-Feb,south dakota,241950,1636,612,32,314833.1766,2308
21-Feb,new mexico,279250,3857,1676,220,448595.9273,7221
21-Feb,tennessee,332450,8471,5688,676,524455.7704,21339
21-Feb,washington,534450,5078,5548,380,813826.1244,17914
21-Feb,vermont,334000,1470,540,56,564477.5323,2417
21-Feb,connecticut,399950,9198,3416,232,953901.8028,9335
21-Feb,district of columbia,549949.5,1430,872,12,984079.1025,2606
21-Feb,colorado,552915.5,8449,6328,888,1325252.466,20451
21-Feb,indiana,209500,6149,3636,232,299533.8777,12220
21-Feb,missouri,237500,8363,4236,704,351774.949,20174
21-Feb,arkansas,199950,5333,2076,160,304747.1895,9179
21-Feb,illinois,225000,27327,11780,588,394545.7055,52791
21-Feb,pennsylvania,267000,15414,7588,736,417777.8651,33303
21-Feb,north dakota,239950,1780,504,156,289458.162,2714
21-Feb,massachusetts,649700,6269,4764,224,1203783.506,9032
21-Feb,kansas,190300,3413,1524,264,320392.9018,8534
21-Feb,maine,298000,2503,1016,72,477851.1377,3395
21-Feb,mississippi,222250,4734,1604,164,303879.799,8328
21-Feb,west virginia,158000,3125,920,80,248979.8254,5438
21-Feb,idaho,496912.5,1694,1604,212,1077207.133,5834
21-Feb,montana,419450,2029,780,52,948161.6277,4814
21-Feb,iowa,231945,7201,2612,364,263561.095,13344
21-Feb,georgia,342450,23857,16780,2792,506807.1336,61559
21-Feb,alabama,263297.5,9378,4668,760,358484.9342,14769
21-Feb,alaska,309950,1212,528,44,406112.0416,1301
21-Feb,michigan,249950,11916,6728,508,394535.0596,21442
21-Feb,new hampshire,417500,1255,1016,64,627080.0659,2543
21-Feb,south carolina,278578,11829,6140,2456,465430.0452,26146
21-Feb,new jersey,442660,18148,10020,436,698490.9608,30790
21-Feb,california,799500,35225,29956,1440,1927367.115,84592
21-Feb,arizona,427000,6525,6912,664,833868.6023,23318
21-Feb,nebraska,266725,2665,1016,184,330983.0382,6483
21-Feb,utah,599450,2784,2840,320,1391943.929,10809
21-Feb,ohio,202400,10179,6400,300,313066.4665,27372
21-Jan,idaho,465000,1824,1236,112,997150.2311,5561
21-Jan,kansas,184000,4077,1732,164,299086.4655,8452
21-Jan,mississippi,220000,5252,1708,248,298304.6969,8394
21-Jan,south dakota,239900,1726,632,36,314071.8706,2338
21-Jan,iowa,219900,7796,2308,344,255536.8422,13228
21-Jan,florida,349500,83139,32896,7416,786828.9043,147947
21-Jan,illinois,224900,30479,12036,692,373318.1658,51225
21-Jan,michigan,239900,14385,6632,692,368885.6889,23329
21-Jan,nevada,350000,7085,3360,360,662584.7705,8504
21-Jan,montana,399900,2356,736,68,912047.0059,4798
21-Jan,oregon,485000,4666,3544,308,684443.8063,12512
21-Jan,north dakota,235000,1992,580,8,280566.2125,2732
21-Jan,new mexico,280990,4059,1464,152,452379.865,7034
21-Jan,massachusetts,639900,7115,4320,232,1178242.895,9633
21-Jan,south carolina,279900,13745,5640,2616,458562.3044,25863
21-Jan,alabama,256000,10773,4384,968,349300.4362,16091
